#Release 14.5 - par P.58f (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue Jun 27 12:01:35 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       CPU_map.ncd
#OUTPUT FILE:      CPU_pad.csv
#PART TYPE:        xc6slx45
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
G3,DR2BusAMuxRAM<7>,IOB,IO_L46P_M3CLK_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G4,,,VCCO_3,,,3,,,,,2.50,,,,
G5,,,GND,,,,,,,,,,,,
G6,,IOBS,IO_L53N_M3A12_3,UNUSED,,3,,,,,,,,,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,,,NC,,,,,,,,,,,,
G9,,IOBM,IO_L38P_0,UNUSED,,0,,,,,,,,,
G10,,,VCCAUX,,,,,,,,2.5,,,,
G11,,,NC,,,,,,,,,,,,
G12,,,GND,,,,,,,,,,,,
G13,RAM2DR<9>,IOB,IO_L32N_A16_M1A9_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G14,RAM2DR<5>,IOB,IO_L30N_A20_M1A11_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
G15,,,VCCO_1,,,1,,,,,2.50,,,,
G16,AR2BusAMuxRAM<4>,IOB,IO_L38P_A5_M1CLK_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
G17,,,GND,,,,,,,,,,,,
G18,AR2BusAMuxRAM<5>,IOB,IO_L38N_A4_M1CLKN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H1,RAMWriteEnable,IOB,IO_L41N_GCLK26_M3DQ5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H2,select,IOB,IO_L41P_GCLK27_M3DQ4_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H3,DR2BusAMuxRAM<4>,IOB,IO_L44N_GCLK20_M3A6_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H4,DR2BusAMuxRAM<3>,IOB,IO_L44P_GCLK21_M3A5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H5,DR2BusAMuxRAM<14>,IOB,IO_L49N_M3A2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H6,DR2BusAMuxRAM<13>,IOB,IO_L49P_M3A7_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H7,,IOBM,IO_L53P_M3CKE_3,UNUSED,,3,,,,,,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,VCCINT,,,,,,,,1.2,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,VCCINT,,,,,,,,1.2,,,,
H12,RAM2DR<8>,IOB,IO_L32P_A17_M1A8_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H13,AR2BusAMuxRAM<0>,IOB,IO_L36P_A9_M1BA0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H14,AR2BusAMuxRAM<1>,IOB,IO_L36N_A8_M1BA1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H15,AR2BusAMuxRAM<2>,IOB,IO_L37P_A7_M1A0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H16,AR2BusAMuxRAM<3>,IOB,IO_L37N_A6_M1A1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H17,AR2BusAMuxRAM<14>,IOB,IO_L43P_GCLK5_M1DQ4_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
H18,AR2BusAMuxRAM<15>,IOB,IO_L43N_GCLK4_M1DQ5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J1,AC2BusAMux<15>,IOB,IO_L40N_M3DQ7_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J2,,,VCCO_3,,,3,,,,,2.50,,,,
J3,AC2BusAMux<14>,IOB,IO_L40P_M3DQ6_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J4,,,GND,,,,,,,,,,,,
J5,,,VCCO_3,,,3,,,,,2.50,,,,
J6,DR2BusAMuxRAM<10>,IOB,IO_L47N_M3A1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J7,DR2BusAMuxRAM<9>,IOB,IO_L47P_M3A0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCAUX,,,,,,,,2.5,,,,
J13,AR2BusAMuxRAM<6>,IOB,IO_L39P_M1A3_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J14,,,VCCO_1,,,1,,,,,2.50,,,,
J15,,,GND,,,,,,,,,,,,
J16,PC2BusAMux<0>,IOB,IO_L44P_A3_M1DQ6_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
J17,,,VCCO_1,,,1,,,,,2.50,,,,
J18,PC2BusAMux<1>,IOB,IO_L44N_A2_M1DQ7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K1,AC2BusAMux<11>,IOB,IO_L38N_M3DQ3_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K2,AC2BusAMux<10>,IOB,IO_L38P_M3DQ2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K3,clk,IOB,IO_L42N_GCLK24_M3LDM_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K4,DR2BusAMuxRAM<0>,IOB,IO_L42P_GCLK25_TRDY2_M3UDM_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K5,DR2BusAMuxRAM<2>,IOB,IO_L43N_GCLK22_IRDY2_M3CASN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K6,DR2BusAMuxRAM<6>,IOB,IO_L45N_M3ODT_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K7,,,VCCAUX,,,,,,,,2.5,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,RAM2DR<12>,IOB,IO_L34P_A13_M1WE_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K13,RAM2DR<13>,IOB,IO_L34N_A12_M1BA2_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K14,AR2BusAMuxRAM<7>,IOB,IO_L39N_M1ODT_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K15,AR2BusAMuxRAM<10>,IOB,IO_L41P_GCLK9_IRDY1_M1RASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K16,AR2BusAMuxRAM<11>,IOB,IO_L41N_GCLK8_M1CASN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K17,PC2BusAMux<2>,IOB,IO_L45P_A1_M1LDQS_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
K18,PC2BusAMux<3>,IOB,IO_L45N_A0_M1LDQSN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L1,AC2BusAMux<9>,IOB,IO_L37N_M3DQ1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L2,AC2BusAMux<8>,IOB,IO_L37P_M3DQ0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L3,AC2BusAMux<13>,IOB,IO_L39N_M3LDQSN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L4,AC2BusAMux<12>,IOB,IO_L39P_M3LDQS_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L5,DR2BusAMuxRAM<1>,IOB,IO_L43P_GCLK23_M3RASN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L6,ALUOut<12>,IOB,IO_L31P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L7,DR2BusAMuxRAM<5>,IOB,IO_L45P_M3A3_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L8,,,VCCINT,,,,,,,,1.2,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
L12,AR2BusAMuxRAM<8>,IOB,IO_L40P_GCLK11_M1A5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L13,AR2BusAMuxRAM<9>,IOB,IO_L40N_GCLK10_M1A6_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L14,ALUOut<4>,IOB,IO_L61P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L15,AR2BusAMuxRAM<12>,IOB,IO_L42P_GCLK7_M1UDM_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L16,AR2BusAMuxRAM<13>,IOB,IO_L42N_GCLK6_TRDY1_M1LDM_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L17,PC2BusAMux<4>,IOB,IO_L46P_FCS_B_M1DQ2_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
L18,PC2BusAMux<10>,IOB,IO_L46N_FOE_B_M1DQ3_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M1,AC2BusAMux<7>,IOB,IO_L36N_M3DQ9_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M2,,,GND,,,,,,,,,,,,
M3,AC2BusAMux<6>,IOB,IO_L36P_M3DQ8_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M4,,,VCCO_3,,,3,,,,,2.50,,,,
M5,ALUOut<13>,IOB,IO_L31N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M6,,,GND,,,,,,,,,,,,
M7,,,VCCINT,,,,,,,,1.2,,,,
M8,TR2BusAMux<14>,IOB,IO_L40P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
M9,,,VCCAUX,,,,,,,,2.5,,,,
M10,busA2ALU<4>,IOB,IO_L22P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
M11,R2ALU<14>,IOB,IO_L15P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,ALUOut<1>,IOB,IO_L61N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M14,ALUOut<2>,IOB,IO_L53P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M15,,,VCCO_1,,,1,,,,,2.50,,,,
M16,PC2BusAMux<6>,IOB,IO_L47P_FWE_B_M1DQ0_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
M17,,,GND,,,,,,,,,,,,
M18,PC2BusAMux<11>,IOB,IO_L47N_LDC_M1DQ1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N1,AC2BusAMux<5>,IOB,IO_L35N_M3DQ11_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N2,AC2BusAMux<4>,IOB,IO_L35P_M3DQ10_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N3,ALUOut<9>,IOB,IO_L1N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N4,ALUOut<8>,IOB,IO_L1P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N5,opcode<4>,IOB,IO_L64P_D8_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
N6,opcode<0>,IOB,IO_L47P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
N7,busA2ALU<8>,IOB,IO_L44P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
N8,TR2BusAMux<15>,IOB,IO_L40N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
N9,busA2ALU<0>,IOB,IO_L22N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
N10,busA2ALU<2>,IOB,IO_L20P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
N11,R2ALU<15>,IOB,IO_L15N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
N12,R2ALU<10>,IOB,IO_L13P_M1_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
N13,,,GND,,,,,,,,,,,,
N14,ALUOut<0>,IOB,IO_L53N_VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N15,PC2BusAMux<7>,IOB,IO_L50P_M1UDQS_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N16,PC2BusAMux<13>,IOB,IO_L50N_M1UDQSN_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N17,PC2BusAMux<8>,IOB,IO_L48P_HDC_M1DQ8_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
N18,PC2BusAMux<9>,IOB,IO_L48N_M1DQ9_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P1,AC2BusAMux<3>,IOB,IO_L34N_M3UDQSN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P2,AC2BusAMux<2>,IOB,IO_L34P_M3UDQS_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P3,ALUOut<11>,IOB,IO_L2N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P4,ALUOut<10>,IOB,IO_L2P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P5,,,VCCAUX,,,,,,,,2.5,,,,
P6,opcode<5>,IOB,IO_L64N_D9_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P7,opcode<1>,IOB,IO_L47N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P8,busA2ALU<6>,IOB,IO_L44N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P9,,,VCCO_2,,,2,,,,,2.50,,,,
P10,,,VCCAUX,,,,,,,,2.5,,,,
P11,busA2ALU<3>,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P12,R2ALU<11>,IOB,IO_L13N_D10_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P13,,,CMPCS_B_2,,,,,,,,,,,,
P14,,,VCCAUX,,,,,,,,2.5,,,,
P15,ALUOut<3>,IOB,IO_L74P_AWAKE_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P16,ALUOut<5>,IOB,IO_L74N_DOUT_BUSY_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P17,PC2BusAMux<5>,IOB,IO_L49P_M1DQ10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
P18,PC2BusAMux<12>,IOB,IO_L49N_M1DQ11_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
R1,,,GND,,,,,,,,,,,,
R2,,,VCCO_3,,,3,,,,,2.50,,,,
R3,IROut<2>,IOB,IO_L62P_D5_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
R4,,,GND,,,,,,,,,,,,
R5,busA2ALU<14>,IOB,IO_L48P_D7_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
R6,,,VCCO_2,,,2,,,,,2.50,,,,
R7,busA2ALU<12>,IOB,IO_L46P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
R8,TR2BusAMux<6>,IOB,IO_L31P_GCLK31_D14_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
R9,,,GND,,,,,,,,,,,,
